Algorithm,Parameters,Davies-Bouldin Index,Silhouette Score,Adjusted Rand Index,Adjusted Mutual Information
DBSCAN,"eps=0.10, min_samples=10",0.472790326972958,0.7016674149142272,0.0010005732404421148,0.0217888023373391
DBSCAN,"eps=0.10, min_samples=3",0.6692163587641774,0.41951909536612353,0.005095470264229249,0.044922331228074666
DBSCAN,"eps=0.10, min_samples=5",0.5726881784089282,0.47864390988127015,0.009145612932040362,0.04866097316474355
DBSCAN,"eps=0.20, min_samples=10",0.8924848107653299,-0.15854532707245633,0.006632089240020951,0.020240700704151036
DBSCAN,"eps=0.20, min_samples=3",1.162522863795072,-0.4038354186020666,0.0224764148282272,0.031095820023334664
DBSCAN,"eps=0.20, min_samples=5",1.0474586914027035,-0.380491107963314,0.022262796921501928,0.02342411809982322
DBSCAN,"eps=0.30, min_samples=10",1.3238807029849131,-0.28010776075183746,-0.014882979719899752,0.007787414927881308
DBSCAN,"eps=0.30, min_samples=3",1.1875090420310936,-0.567030713429363,-0.003800569232558549,0.028104117626506893
DBSCAN,"eps=0.30, min_samples=5",1.2308249610921913,-0.4938645787297819,-0.011078923686305947,0.017313923980403958
DBSCAN,"eps=0.40, min_samples=10",1.515359912643772,-0.10173630107417622,-0.006685322415338642,0.0036070664502674088
DBSCAN,"eps=0.40, min_samples=3",1.1630743216551858,-0.47427671815450656,-0.0032449568351880643,0.008524047574777392
DBSCAN,"eps=0.40, min_samples=5",1.1933166779178754,-0.32383637741635163,-0.005017494043487021,0.005346119377188106
DBSCAN,"eps=0.50, min_samples=10",2.3150621578998645,0.15936890777618287,-0.00013852087437468523,0.0003057803848743083
DBSCAN,"eps=0.50, min_samples=3",1.3569876252015016,-0.15141434746071133,-0.00011307229978130929,0.0014109928753635597
DBSCAN,"eps=0.50, min_samples=5",1.5659815403821002,0.1230365366937525,-0.0001393968086304311,0.0008114490164401377
DBSCAN,"eps=0.60, min_samples=10",2.5203640348029244,0.1651217798390543,1.7342832790111734e-05,0.00012910421271888678
DBSCAN,"eps=0.60, min_samples=3",2.2368530197257925,-0.029731144226109833,2.080659570392247e-05,0.0001900981813943939
DBSCAN,"eps=0.60, min_samples=5",3.001403128313279,0.16819999928412294,2.2860522572048698e-05,5.7992337492499154e-05
DBSCAN,"eps=0.70, min_samples=10",2.997259525904488,0.16750759723121436,1.9094674890054876e-05,4.133619635760029e-05
DBSCAN,"eps=0.70, min_samples=3",3.019759956905591,0.1672059380056538,2.0028820866535496e-05,4.63526178206096e-05
DBSCAN,"eps=0.70, min_samples=5",2.6178935419474123,0.14502487973178677,2.0953431085750817e-05,8.625524876732871e-05
DBSCAN,"eps=0.80, min_samples=10",3.0135880606324075,0.1674990277525408,2.0260585127527295e-05,4.432262672568017e-05
DBSCAN,"eps=0.80, min_samples=3",2.6027239101138426,0.16077469609146638,1.8678196268480848e-05,8.026267899591831e-05
DBSCAN,"eps=0.80, min_samples=5",3.021409723746202,0.16716663752102554,1.846101194089925e-05,4.0739218175730436e-05
DBSCAN,"eps=0.90, min_samples=10",,,,
DBSCAN,"eps=0.90, min_samples=3",,,,
DBSCAN,"eps=0.90, min_samples=5",,,,
DBSCAN,"eps=1.00, min_samples=10",,,,
DBSCAN,"eps=1.00, min_samples=3",,,,
DBSCAN,"eps=1.00, min_samples=5",,,,
K-Means,n_clusters=10,1.0565489278629652,0.2818145416427493,0.0025358489841475727,0.009027745548007055
K-Means,n_clusters=2,1.31286756953759,0.4147230643567984,0.0002801372379569612,0.00035609084200462747
K-Means,n_clusters=3,1.0556216726054504,0.4185827474104367,0.0031577398857261367,0.0036138101082258322
K-Means,n_clusters=4,0.9353645352040083,0.4342440638055674,0.0024760517061605068,0.004456649108244007
K-Means,n_clusters=5,0.9088541161157856,0.41371275546818426,0.003343346229851811,0.007547186938763841
K-Means,n_clusters=6,1.0409567171586105,0.3360696239567112,0.002675490190763455,0.006271922903591579
K-Means,n_clusters=7,1.0563021340135885,0.2757967507819084,0.0025449008859721213,0.005769389037651082
K-Means,n_clusters=8,1.0284054412172265,0.3194654569933489,0.0027627791402895677,0.007655610007077348
K-Means,n_clusters=9,1.0562419483071386,0.3138070624816775,0.0026768910264438725,0.008147689799941784
